EST1,EST2,EST3,SST1,SST2,SST3,BEQ1,BEQ2,BEQ3,BEQ4,BEQ5,BEQ6,BEQ7,BEQ8,BEQ9,BEQ10,RVL1,RVL2,RVL3,RVL4,RVL5,COR1,COR2,COR3,COR4,COR5,COR6,COR7,COR8,COR9,ICT1,ICT2,ICT3,ICT4,SUS1,SUS2,SUS3,SUS4,SUS5,SUS6,SUS7,SUS8,SUS9,SUS10,SUS11,SUS12,SUS13,SUS14,SUS15,SUSA,SUSB,SUSC,QK
5,5,5,5,5,5,4,4,4,6,4,5,4,5,5,5,7,7,7,7,7,6,6,5,7,7,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.436,0.656,-0.552,Negocio
4,6,4,6,6,6,6,5,5,3,5,5,3,3,3,3,6,6,5,6,5,6,6,4,6,5,5,5,5,5,3,3,4,5,6,6,6,6,6,5,5,5,7,5,5,5,7,6,6,0.058,-0.177,-0.076,Negocio
6,6,7,7,7,7,4,6,6,7,6,4,6,6,6,6,7,7,7,7,7,5.780769230769231,7,7,7,5.3745318352059925,7,6,4,6,6,4.4393939393939394,4,7,7,5.306818181818182,7,5.725563909774436,7,5.20532319391635,7,6.161654135338346,7,7,7,7,7,7,7,0.749,1.489,0.88,Negocio
7,7,7,7,7,7,5,5,5,5,4,5,4,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,4,3,3,6,5,3,3,2,6,5,3,2,6,6,6,-2.135,-1.556,-0.552,Ocio
5,6,6,6,6,6,6,6,6,4,5,6,2,2,2,2,6,6,6,7,5,6,5,5,6,4,5,5,5,5,7,5,4,6,6,6,6,6,6,6,6,6,7,5,5,5,6,6,6,0.436,-0.177,-0.552,Negocio
6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.436,0.656,-0.552,Ocio
6,6,6,6,6,6,7,5,5,3,5,6,5,5,5,5,6,6,6,6,5,6,4,5,6,4,5,5,4,5,4,3,3,5,3,4,5,5,6,5,2,6,7,4,4,4,6,6,6,-1.078,-1.01,-0.552,Ocio
7,6,4,4,6,6,6,6,5,1,2,7,2,2,1,1,7,7,7,7,7,6,6,5,5,7,6,7,5,6,5,5,5,6,6,6,7,6,3,3,1,6,7,5,5,5,7,7,7,-0.641,-0.177,0.88,Negocio
6,6,6,6,6,6,6,5,5,3,3,5,5,5,5,5,6,6,6,6,6,3,4,4,4,4,5,5,4,5,4,3,4,5,5,5,7,7,7,5,4,6,7,5,5,4,5,7,5,0.303,-0.445,-1.077,Ocio
7,6,4,3,3,3,6,5,5,1,2,7,2,2,1,1,7,7,7,7,7,6,6,5,5,7,5,7,6,7,4,4,4,5,6,6,7,6,3,3,1,6,7,5,5,3,7,7,7,-0.641,-0.713,0.88,Negocio
6,6,7,7,6,6,6,5,5,3,4,6,5,5,5,5,7,6,6,6,5,6,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,7,5,6,6,7,5,5,5,6,7,6,-0.162,-0.177,-0.098,Ocio
6,6,7,7,6,5,7,6,5,2,3,5,2,2,2,2,7,7,7,6,6,6,5,5,5,4,6,6,5,6,6,5,5,7,6,6,6,6,6,6,6,7,7,5,5,5,7,7,7,0.586,-0.177,0.88,Negocio
6,6,4,5,5,5,6,5,5,1,2,7,2,2,1,1,7,7,7,7,7,6,6,5,5,7,5,7,6,7,4,4,4,5,6,6,7,3,3,1,6,7,5,5,3,3,7,7,7,-0.719,-1.288,0.88,Ocio
5,5,5,5,5,5,7,6,6,4,5,6,5,5,5,5,7,6,6,6,4,5,5,5,5,4,5,5,4,4,2,3,4,5,5,5,5,5,5,5,5,5,7,4,4,4,6,6,6,-0.657,-1.01,-0.552,Ocio
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,6,6,7,6,6,5,5,5,7,4,4,4,4,4,4,4,6,6,6,6,6,7,7,7,-1.448,0.656,0.88,Ocio
