"CUESTIONARIO","lon","lat"
224,2.153485,41.3974498
225,2.16933,41.38368
226,2.1496918,41.3896985
227,2.1613814,41.3954949
228,2.1533956,41.3952428
229,2.1638863,41.3912046
230,2.1582819,41.3911406
231,2.1968203,41.4022642
232,2.1406904,41.3958815
233,2.1738658,41.3969114
234,2.1848408,41.4255706
235,2.1506071,41.4026665
236,2.1542319,41.3972357
237,2.147601,41.3956984
238,2.1624168,41.3896088
239,2.1829232,41.3855523
240,2.1668706,41.6316583
241,2.0003488,41.3048195
242,2.2870703,41.6132216
243,2.7507335,41.6684521
244,-3.6493733,40.3863082
245,-3.6764664,40.4257748
246,-3.662011,40.3910186
247,-3.6991542,40.4373946
248,-3.8609987,40.3267808
249,-3.8285793,40.3469261
250,-3.696122,40.4110757
251,-3.7098379,40.4158063
252,-3.7468912,40.3770016
253,-3.4787097,40.3894666
254,-3.6763439,40.4572466
255,-3.6241053,40.3785404
256,-3.6672759,40.4229343
257,-3.6951113,40.4358146
258,-3.7449671,40.4050859
259,-3.6989571,40.3999184
260,-3.6985842,40.4112964
261,-3.7151415,40.3688679
262,-3.6867644,40.4638417
263,-3.7094058,40.4105691
264,-3.713882,40.4751246
265,NA,NA
266,-3.6113724,40.4104864
267,-3.6087322,40.4329446
268,-3.6748679,40.432672
269,-3.6593099,40.4119769
270,-3.6245737,40.3781965
271,-3.7088092,40.4256393
272,-3.6930107,40.4032022
273,-3.7568365,40.3862367
274,-3.70861,40.41527
275,-3.7142192,40.4818752
276,-3.65978,40.5449399
277,-3.7492663,40.288877
278,-3.7549499,40.3361512
279,-3.5095652,40.7448104
280,-3.6865905,40.4298059
281,-3.6870862,40.4209731
282,-3.7263162,40.4125591
283,-3.6678299,40.3836572
284,-3.7035741,40.3859419
285,-3.7028509,40.4529964
286,-3.7083579,40.4347567
287,-3.7115625,40.3853085
288,-3.6869075,40.4241114
289,-3.7057346,40.4572118
290,-3.6796956,40.4246189
291,-3.6850521,40.3437418
292,-3.6874991,40.4252393
293,-3.6867688,40.4229033
294,-3.6875416,40.4246478
295,-3.7638718,40.3922028
296,-3.8450004,40.3195428
297,-3.6957256,40.4269909
298,-3.6351997,40.5441658
299,-3.6722549,40.427624
300,-3.6734503,40.4068381
301,-3.35533,40.48603
302,-3.3556623,40.485155
303,-3.6568211,40.5183178
304,-3.6478347,40.5350509
305,-3.4385789,40.3010576
306,-3.5379557,40.4253622
307,-3.7340296,40.3046608
308,-3.8906149,40.4979766
309,-3.751722,40.3335355
310,-3.8720128,40.4753494
311,-3.5346074,40.4266691
312,-3.6747735,40.4203637
313,-3.7032298,40.3862188
314,-3.6784811,40.4020666
315,-3.6908514,40.458183
316,-3.6921402,40.4659378
317,-3.6707614,40.4348594
318,-3.6707377,40.4243759
319,-3.6938232,40.4045482
320,-3.6744127,40.4523018
321,-3.7342462,40.3933307
322,-3.6928323,40.4519221
323,-3.7238747,40.4158333
324,-3.6453542,40.4331771
325,-3.6938622,40.4903255
326,-3.6445622,40.4073998
327,-3.6926717,40.4541709
328,-3.6928786,40.3452431
329,-3.6466806,40.469871
330,-3.6575855,40.4350146
331,-3.7108687,40.4319129
332,-3.8178636,40.3452994
333,-4.0591613,40.7389816
334,-3.9901292,40.2317699
335,-3.7461167,40.2684624
336,-3.71344,40.60902
337,-3.6958842,40.4066298
338,-3.7060358,40.4117443
339,-3.6180218,40.3974445
340,-3.6871651,40.469861
341,-3.7024873,40.4561648
342,-3.6759766,40.4583842
343,-3.4604849,40.30615
344,-3.7463457,40.3767905
345,-3.708146,40.3929233
346,-3.6867688,40.4878252
347,-3.7371221,40.4114311
348,-3.6641757,40.4301099
349,-3.5505122,40.4322057
350,-3.6416818,40.4312753
351,-3.6712201,40.3991182
352,-3.7056157,40.3855783
353,-3.8257058,40.3490731
354,-3.8676291,40.3232129
355,-3.695754,40.4317927
356,-3.355088,40.4858843
357,-4.0257259,40.625692
358,-3.7483493,40.2822245
359,-3.7239937,40.3499939
360,-3.8161956,40.2966212
361,-3.4785202,40.4556593
