TIPO,SUSA,SUSB,SUSC
2,0.215,0.12,0.404
1,-0.138,0.953,0.88
2,-2.483,-0.187,0.88
1,-0.418,0.091,-1.054
1,-0.625,0.369,-0.552
2,1.151,0.656,-0.552
1,0.785,0.637,0.88
1,0.683,1.489,0.88
2,-3.318,-1.576,-4.848
2,0.186,-0.206,0.404
1,0.412,1.489,0.88
2,-2.149,-0.187,0.88
2,-3.23,-0.733,0.88
1,1.399,1.202,0.88
2,0.935,0.091,0.88
1,1.378,0.101,-0.552
2,0.55,0.656,-0.049
1,1.528,1.489,0.88
2,0.168,1.489,0.88
1,-1.138,1.489,0.404
2,0.316,-0.177,0.88
1,1.528,1.202,-1.481
1,-0.356,1.489,-0.552
2,1.276,0.637,0.378
1,0.989,1.489,0.88
2,0.758,1.489,0.88
1,0.22,-0.733,0.88
2,0.662,0.934,0.88
2,1.427,0.656,0.88
2,0.436,0.656,-0.552
1,1.093,0.378,-0.098
1,0.784,0.369,0.88
2,-0.036,-0.177,-0.552
1,0.092,1.489,-1.984
1,1.356,1.489,0.88
1,-0.349,-0.196,-0.098
2,-0.031,-1.01,-1.504
1,1.528,-0.158,0.88
1,1.399,1.489,-0.552
2,1.528,1.489,0.88
1,0,0.101,0.88
2,0.942,0.081,0.404
1,0.806,1.489,0.88
1,1.269,0.666,0.88
1,-0.786,0.369,-0.552
1,-0.301,0.656,0.88
2,1.528,0.407,0.88
2,1.528,1.489,0.88
2,-2.775,-0.464,0.88
1,-1.31,-0.733,0.88
2,1.528,1.489,0.88
2,-0.715,0.378,-0.098
1,-0.486,0.11,-0.552
2,-0.215,1.489,-0.552
1,1.528,1.489,0.88
2,0.287,0.101,-1.028
1,-0.281,0.953,0.88
1,1.528,1.489,0.88
2,0.586,0.656,-0.076
2,0.793,1.489,0.88
1,1.528,1.489,0.88
1,1.223,1.489,0.88
2,-1.122,-1.01,-1.508
1,1.528,1.489,0.88
1,0.229,-0.177,-1.912
1,1.271,1.489,0.88
