"CUESTIONARIO","TRUST1","TRUST2","TRUST3","COMMIT1","COMMIT2","COMMIT3","COMMIT4","VCC1","VCC2","VCC3","VCC4","VCC5","VCC6","ECOSAT1","ECOSAT2","ECOSAT3","SOCSAT1","SOCSAT2","SOCSAT3"
77,6,4,6,6,6,6,7,2,3,5,2,5,6,4,4,4,4,4,4
78,7,7,7,7,7,7,7,6,6,6,6,6,6,3,3,5,5,3,3
79,4,3,4,5,5,5,4,2,2,5,2,2,5,2,2,2,2,2,2
80,5,6,5,6,5,6,5,4,3,5,3,6,6,4,4,3,7,6,6
81,7,7,7,7,7,7,7,6,6,7,6,7,6,5,7,5,7,6,6
82,6,6,6,4,4,4,4,4,5,5,2,5,5,6,6,6,6,6,6
83,6,4,6,4,4,6,6,2,3,6,3,4,6,4,4,4,3,4,4
84,6,5,5,6,4,5,5,3,3,3,3,4,3,5,4,5,5,5,
85,6,5,6,7,7,7,7,2,3,5,3,5,6,6,6,6,6,6,6
86,6,4,6,5,5,6,6,2,3,5,4,5,6,5,5,5,5,5,5
87,6,3,6,4,4,6,6,2,3,5,4,5,5,5,4,4,4,5,5
88,6,6,6,6,6,6,7,2,3,5,2,4,5,5,5,5,5,5,5
89,6,6,6,7,6,6,6,5,5,5,5,5,5,6,6,6,6,6,6
90,6,7,6,6,6,6,6,3,3,2,3,3,3,5,4,4,4,3,3
91,5,5,5,5,6,5,5,2,2,2,4,4,4,6,6,6,6,6,6
92,6,6,6,6,6,6,7,2,4,5,3,4,6,6,6,6,6,6,6
93,6,5,6,6,6,6,6,2,3,5,3,3,5,5,5,4,5,4,5
94,7,7,7,7,7,7,7,7,7,7,5,6,7,5,7,6,6,6,6
95,6,5,6,4,4,4,4,4,4,5,3,4,5,5,5,4,5,5,4
96,6,6,6,6,6,6,6,4,4,4,5,5,5,6,6,6,6,6,6
97,6,6,6,5,5,5,5,2,2,2,2,3,3,3,3,3,3,3,3
98,7,5,7,5,5,7,7,1,4,6,3,5,6,5,5,4,6,5,5
99,5,5,5,4,5,7,7,2,3,5,2,5,5,5,5,4,5,5,5
100,6,6,5,5,6,7,7,5,,,5,,7,5,5,5,6,7,7
101,4,4,4,4,4,4,4,2,2,2,4,3,4,5,5,6,6,5,5
102,6,5,6,4,4,6,6,2,5,5,4,5,6,6,6,5,6,5,4
103,6,5,6,3,3,6,6,2,4,5,4,5,5,5,6,5,6,6,5
104,5,4,5,4,4,6,6,4,4,5,4,5,6,5,5,5,5,5,5
111,5,5,5,4,4,3,3,3,3,4,3,4,4,4,4,,5,5,4
112,6,6,,,7,7,7,4,4,4,,7,7,,,7,7,7,6
113,6,6,6,6,6,6,6,3,3,3,3,3,3,6,6,6,6,6,6
114,6,6,6,6,6,6,6,3,4,4,4,4,4,5,5,5,5,5,5
115,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6
116,6,6,6,7,7,7,7,6,6,7,7,7,7,,7,7,7,7,7
117,5,5,5,6,6,6,6,4,4,4,5,5,4,4,4,4,4,4,4
118,6,6,6,6,6,6,6,4,4,,3,3,3,5,5,5,6,5,5
119,5,4,5,6,6,6,6,2,4,6,4,5,6,6,5,5,7,6,5
120,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
121,6,4,6,4,5,6,6,2,4,5,3,5,6,5,6,5,6,6,5
122,6,4,6,4,5,6,6,2,4,5,3,5,6,5,6,5,6,6,5
123,6,5,6,5,5,6,6,5,5,6,4,5,6,6,6,6,6,6,6
124,6,5,6,6,6,6,7,5,5,6,5,4,6,6,6,6,6,6,6
125,6,5,5,5,5,6,5,4,5,4,4,3,4,6,6,6,6,6,6
126,6,6,6,6,6,7,7,3,5,5,5,6,6,6,6,6,6,6,5
127,6,4,6,4,4,4,5,5,5,6,5,5,6,5,4,5,6,4,4
128,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7
129,6,6,6,6,6,6,7,3,4,5,4,4,4,6,6,7,7,6,6
130,6,5,6,6,6,6,7,2,5,6,5,5,5,6,6,7,7,6,6
131,6,4,6,6,6,6,6,5,5,5,2,4,5,6,6,6,6,5,6
132,7,7,7,7,7,7,7,2,5,6,4,4,6,7,7,7,7,7,7
133,5,5,5,5,5,6,6,5,4,3,3,3,3,6,6,3,6,5,4
134,5,5,5,5,4,4,4,4,3,3,3,3,3,4,3,3,4,4,4
135,7,4,7,5,5,6,7,5,5,6,4,3,6,4,5,4,6,6,4
136,6,6,5,5,6,6,6,4,4,5,4,3,3,5,5,6,3,6,6
137,6,4,6,4,4,5,6,2,4,6,3,6,6,6,6,6,6,6,6
138,6,6,6,6,5,5,5,4,3,4,4,4,4,6,6,5,6,5,6
139,5,3,5,5,5,6,6,5,5,6,4,5,6,4,4,4,3,4,4
140,6,6,6,6,6,7,7,2,3,5,3,4,5,7,7,7,7,7,7
141,6,6,6,7,7,7,7,7,7,7,6,6,6,7,7,7,7,7,6
142,6,4,6,4,4,6,6,4,4,6,4,5,6,4,5,6,6,6,4
143,7,5,7,5,4,6,7,2,5,6,4,4,6,5,6,6,6,6,5
144,6,4,5,4,4,6,6,4,4,5,3,5,6,6,6,6,6,6,5
145,6,4,6,6,6,6,6,2,4,6,4,5,6,6,6,6,6,6,6
146,6,4,6,5,5,5,5,2,2,5,4,5,6,6,7,7,6,6,6
147,7,5,7,5,5,6,7,1,5,6,2,5,6,5,6,5,7,6,4
148,6,5,6,5,5,6,6,2,4,5,4,5,6,5,5,5,6,6,4
149,6,3,6,4,4,6,6,4,4,6,4,5,6,4,5,5,6,5,4
150,6,3,6,3,3,6,5,4,5,6,2,5,6,4,5,5,5,5,4
151,6,5,6,5,5,6,7,3,5,6,5,5,6,6,6,5,6,6,5
152,6,5,6,3,3,6,6,2,4,6,3,3,6,6,6,6,6,6,5
153,5,4,5,4,4,5,5,4,4,5,3,5,5,4,4,3,6,5,4
154,7,5,7,5,5,7,7,4,5,5,4,5,5,6,7,5,6,6,4
155,5,5,5,5,5,5,5,5,5,5,4,4,4,6,6,6,5,5,5
156,4,4,4,4,4,6,6,2,4,6,3,5,6,5,6,5,6,5,4
157,5,6,5,6,6,5,6,3,3,4,3,3,3,5,5,5,5,5,5
158,7,5,7,5,5,7,7,5,5,6,5,5,6,5,5,5,6,6,5
159,6,5,5,5,5,5,5,6,4,4,3,3,3,6,6,6,6,6,6
160,6,5,6,5,5,7,7,2,5,5,4,5,6,5,6,6,7,5,5
161,6,5,6,5,5,6,6,5,5,6,5,5,6,5,6,6,6,6,5
162,6,5,7,5,5,7,7,3,5,6,4,4,6,5,6,5,6,6,5
163,5,6,6,5,5,6,5,3,4,3,3,4,4,6,6,6,5,6,5
164,6,5,6,5,5,6,7,2,4,5,4,5,5,5,6,6,7,6,5
165,6,6,6,5,5,4,4,2,2,2,3,3,3,5,5,5,5,5,5
166,5,6,6,5,5,5,5,3,3,3,2,2,3,5,6,5,6,6,4
167,6,5,6,5,5,6,6,2,5,6,3,5,6,5,5,5,6,5,4
168,5,5,5,5,5,5,5,4,4,4,3,3,3,6,6,6,6,6,6
169,6,6,6,6,7,7,6,6,5,5,6,6,6,6,6,3,3,3,3
170,5,3,5,3,3,5,5,2,5,6,3,4,6,4,5,5,6,5,5
171,5,6,5,6,6,6,6,5,6,6,5,4,4,5,5,5,5,5,5
172,5,4,5,4,4,6,6,1,5,5,3,3,6,5,5,5,6,4,4
173,6,4,6,4,4,5,5,2,4,5,3,4,5,3,4,4,5,3,4
174,6,6,6,5,4,4,4,2,2,2,3,3,3,3,3,2,3,5,4
175,6,5,6,4,4,6,6,1,4,5,4,4,5,5,6,5,6,6,5
176,6,4,6,5,5,6,7,5,5,5,5,5,5,6,6,6,7,6,6
177,5,4,5,5,5,6,6,1,3,5,4,5,5,6,6,3,6,5,4
178,5,5,5,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,5
179,5,3,5,3,3,5,5,2,5,6,3,4,6,4,5,5,6,5,5
180,6,6,6,6,6,6,6,4,4,3,3,3,3,5,5,6,5,6,6
181,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6,7,7,6,6
182,6,6,6,6,5,5,5,5,6,6,5,5,6,6,6,5,5,6,5
183,6,6,6,5,5,6,5,5,5,5,5,5,5,5,5,6,6,6,6
184,6,6,6,6,5,6,6,3,3,4,4,4,4,6,6,6,6,6,6
185,5,4,4,4,3,5,5,3,3,3,1,3,2,4,3,3,5,4,3
186,6,6,5,4,4,5,6,5,4,4,4,4,4,4,5,5,4,4,4
187,6,6,6,7,7,7,7,5,5,4,5,4,5,6,6,6,6,6,6
188,6,7,6,6,6,7,7,7,7,,6,7,,6,6,6,6,7,7
189,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7
190,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
191,5,5,5,5,5,5,5,4,3,3,3,4,3,5,5,6,6,5,5
192,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6
193,7,7,7,4,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7
201,7,7,7,7,7,7,7,2,6,5,6,6,7,6,6,5,7,6,7
202,4,6,4,6,6,6,6,6,5,6,5,7,7,4,6,4,6,6,5
203,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
204,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
205,7,7,7,6,6,7,7,5,5,6,6,6,7,6,7,3,7,7,7
206,6,6,6,7,7,7,7,5,6,6,6,7,6,6,6,3,7,6,6
207,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6
208,5,5,7,5,4,7,5,3,5,4,1,4,4,5,6,4,7,5,7
209,7,7,7,7,7,7,7,2,2,2,5,7,7,3,7,7,7,7,6
210,6,7,7,6,5,7,5,4,5,5,3,5,3,5,5,5,4,5,5
211,7,7,7,7,3,7,7,7,7,7,3,7,7,3,5,7,7,7,7
212,4,4,4,1,1,4,4,1,1,4,1,4,1,4,2,4,7,4,3
213,6,6,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7
