TRUST1	TRUST2	TRUST3	COMMITMENT1	COMMITMENT2	COMMITMENT3	COMMITMENT4	VCC1	VCC2	VCC3	VCC4	VCC5	VCC6	ECOSAT1	ECOSAT2	ECOSAT3	SOCSAT1	SOCSAT2	SOCSAT3	LOY1	LOY2	LOY3	LOY4	ICT1	ICT2	ICT3	ICT4	ICT5
6	5	6	5	5	6	6	4	4	7	4	5	7	4	3	6	7	6	6	5	4	3	5	3	3	3	4	4
6	4	7	5	5	6	6	2	3	6	4	6	6	5	4	7	7	6	6	5	5	4	6	5	5	5	5	5
6	5	7	5	5	6	6	2	2	6	4	5	7	4	4	6	7	5	5	5	3	3	6	5	5	5	4	6
5	3	6	3	4	6	6	2	3	7	5	6	7	4	3	6	7	5	5	4	3	2	5	5	5	4	4	5
6	5	7	5	5	6	7	3	3	5	5	6	7	3	3	7	7	6	6	6	3	3	6	5	5	5	4	7
6	5	6	4	5	6	6	4	4	7	4	7	7	3	3	7	7	6	6	5	4	5	5	5	5	4	4	6
6	5	6	4	5	6	6	2	3	7	4	6	7	3	3	6	7	6	5	4	2	2	5	5	5	5	4	6
6	5	6	4	4	6	6	2	2	6	4	5	6	4	4	6	7	6	6	5	3	2	5	5	5	4	4	5
7	5	7	5	5	6	7	4	4	7	5	7	7	3	3	7	7	6	5	5	4	2	6	5	5	5	4	5
6	4	7	5	5	6	6	2	2	6	4	6	6	5	4	7	7	6	6	5	5	4	6	5	5	5	5	5
6	6	7	7	5	7	7	3	1	5	5	5	7	6	7	5	7	7	7	7	1	5	7	5	5	6	6	6
6	6	6	6	6	6	6	4	4	4	5	3	4	5	6	6	6	6	6	6	6	1	6	5	5	4	3	4
6	6	6	6	6	6	6	3	3	4	3	3	3	7	7	7	7	7	7	7	7	1	7	2	2	3	3	3
6	4	7	4	4	6	6	2	3	6	3	6	6	4	5	7	7	6	5	5	3	3	5	4	4	4	4	6
6	6	6	3	3	3	3	3	3	3	3	3	3	6	6	6	6	6	6	5	5	1	5	1	1	1	1	1
